"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"244","Citra Ass Down","American IPA",0.082,68,16,"Against The Grain Brewery","Louisville"," KY"
"245","The Brown Note","American Brown Ale",0.05,20,16,"Against The Grain Brewery","Louisville"," KY"
"246","Neomexicanus Native","American Pale Ale (APA)",0.06,46,12,"Crazy Mountain Brewing Company","Edwards"," CO"
"247","Old Soul","Belgian Strong Pale Ale",0.075,25,12,"Crazy Mountain Brewing Company","Edwards"," CO"
"248","Lava Lake Wit","Witbier",0.052,15,12,"Crazy Mountain Brewing Company","Edwards"," CO"
"249","Crazy Mountain Amber Ale","American Amber / Red Ale",0.052,25,12,"Crazy Mountain Brewing Company","Edwards"," CO"
"250","Daft Funk","Berliner Weissbier",0.043,8,24,"Mikerphone Brewing","Chicago"," IL"
"251","OktoberFiesta","",0.053,27,12,"Freetail Brewing Company","San Antonio"," TX"
"252","Texicali ","American Brown Ale",0.065,33,12,"Freetail Brewing Company","San Antonio"," TX"
"253","Bat Outta Helles","Munich Helles Lager",0.042,20,12,"Freetail Brewing Company","San Antonio"," TX"
"254","Rye Wit","Witbier",0.042,10,12,"Freetail Brewing Company","San Antonio"," TX"
"255","Soul Doubt","American IPA",0.059,70,12,"Freetail Brewing Company","San Antonio"," TX"
"256","Yo Soy Un Berliner","Berliner Weissbier",0.044,5,12,"Freetail Brewing Company","San Antonio"," TX"
"257","Bimini Twist","American IPA",0.07,82,12,"3 Daughters Brewing","St Petersburg"," FL"
"258","Farmer's Daughter Blonde","American Blonde Ale",0.051,17,16,"Red Shedman Farm Brewery and Hop...","Mt. Airy"," MD"
"259","Pump House IPA","American IPA",0.055,45,16,"Red Shedman Farm Brewery and Hop...","Mt. Airy"," MD"
